diff_pressure_horizontal,diff_pressure_vertical,diff_pressure_central,time,accel_x,accel_y,accel_z
42.26666641,10.5666666,286.8333435,4058.8865803527133,-4.49784708,0.3353027403,19.46612167
42.73333359,11.44999981,286.2666626,4058.8965803689252,-2.711162329,-0.6658154726,19.46612167
43.5,11.46666622,285.1000061,4058.9065803851377,-3.070415258,-2.289638758,19.46612167
43.70000076,10.21666622,287.2166748,4058.9165804013496,0.3688330352,-5.288203239,19.46612167
46.26666641,4.699999809,286.7333374,4058.926580417562,-3.305127144,-5.35526371,19.46612167
45.48333359,-1.483333349,286.5333252,4058.9365804337745,-0.8622070551,-1.729204178,19.46612167
41.56666565,-8.350000381,287.4166565,4058.9465804499864,-2.476450205,-0.1245410219,19.46612167
43.48333359,-16.86666679,286.4500122,4058.956580466199,-2.998564482,-1.336421013,18.18298912
43.95000076,-15.21666622,286.7333374,4058.966580482411,-1.619033217,-3.745810747,19.46612167
42.04999924,-12.73333359,285.6499939,4058.976580498623,-1.872905374,-4.267924786,19.46612167
41.75,-10.69999981,285.3333435,4058.9865805148356,-3.103945494,-3.171005964,19.46612167
40.73333359,-10.4333334,283.7166748,4058.9965805310476,0.1005908251,-1.781894565,19.46612167
40.76666641,-12.38333321,283.0499878,4059.00658054726,-4.560117245,0.8717871308,17.93869781
40.81666565,-13.36666679,280.6833191,4059.016580563472,-0.5173242688,-1.02985847,19.46612167
37.09999847,-13.0666666,282.9666748,4059.0265805796844,-0.7089257836,-4.076323509,19.46612167
29.70000076,-10.26666641,284.9833374,4059.036580595897,-2.715952158,-3.017724752,19.46612167
25.41666603,-10.05000019,285.3333435,4059.0465806121088,-0.1628613323,-0.8143066764,19.46612167
28.79999924,-13.44999981,287.1166687,4059.056580628321,-0.6706054807,-0.5700146556,19.46612167
31.04999924,-16.66666603,289.8833313,4059.0665806445336,-4.382885933,-1.446591854,19.46612167
31.0,-19.06666756,288.0166626,4059.0765806607455,-0.546064496,-2.648891687,19.46612167
